STATE,Students Enrolled,Counselors,Social Workers,Psychologists,Nurses,Student-to-Counselor Ratio,Student-to-Social Worker Ratio,Student-to-Psychologist Ratio,Student-to-Nurse Ratio,% SOC in State,SOC Enrolled,SOC Enrollment at CnC,Sum of Students Enrolled,% SOC at CnC,,Teachers,Law Enforcement,Security Guards,Total Support Staff,Student-to-Teachers Ratio,"% of Students in Schools with Cops, No Counselor","# of Students in Schools w/ Cop, No Counselors",Law Enforcement-to-Students Ratio,Security Guard-to-Students Ratio,% Students Enrolled in School Above Rec Ratio for Counselors,Students Enrolled in School Above Rec Ratio for Counselors,LEO + SG,State % of National  CnC,Cop no Psychologist,Cop no Nurse,Cop no Counselor
FL,"2,762,601","4,989",199,195,26,554,"13,882","14,204","106,254",61%,1678837,"71,871","106,209",68%,-7%,"151,462","1,810",954,"5,408",18.2,3.8%,"106,209","1,526","2,896",85%,"2,335,468","2,764",6.1%,"1,740","1,795",240
HI,"182,836",625,4,0,4,292,"45,709",N/A,"43,020",87%,159391,N/A,,,,"11,975",1,240,634,15.3,0.0%,N/A,N/A,762,67%,"122,848",241,,1,1,
UT,"657,754",993,80,242,147,663,"8,198","2,720","4,479",24%,160664,"16,391","70,267",23%,1%,"28,346",340,14,"1,462",23.2,10.7%,"70,267","1,935","47,837",68%,"449,037",354,4.1%,138,101,134
MI,"1,509,170","2,178","1,436",691,359,693,"1,051","2,184","4,199",33%,494059,"28,371","110,534",26%,7%,"81,121",507,724,"4,665",18.6,7.3%,"110,534","2,978","2,084",54%,"818,347","1,231",6.4%,331,464,278
OR,"566,070","1,176",64,167,138,481,"8,831","3,393","4,112",37%,209548,"10,474","32,193",33%,4%,"28,582",238,107,"1,544",19.8,5.7%,"32,193","2,376","5,304",71%,"404,085",345,1.9%,117,100,76
CO,"889,725","1,769",394,564,312,503,"2,258","1,578","2,853",46%,409545,"12,881","27,131",47%,-1%,"51,705",396,447,"3,039",17.2,3.0%,"27,131","2,244","1,989",57%,"510,770",844,1.6%,279,313,79
ND,"110,022",423,168,51,45,260,655,"2,162","2,453",22%,23975,21,280,8%,14%,"9,439",76,40,687,11.7,0.3%,280,"1,447","2,776",70%,"77,317",116,0.0%,55,60,4
ID,"291,914",609,35,145,157,479,"8,447","2,014","1,857",24%,70719,"1,677","8,742",19%,5%,"15,124",196,138,946,19.3,3.0%,"8,742","1,492","2,112",77%,"224,378",334,0.5%,129,142,36
WA,"1,079,724","2,410",75,767,590,448,"14,391","1,408","1,830",44%,479650,"3,959","8,010",49%,-5%,"56,290",273,334,"3,842",19.2,0.7%,"8,010","3,957","3,231",84%,"903,653",607,0.5%,66,88,18
NV,"465,312","1,054",53,249,267,441,"8,730","1,866","1,743",66%,308469,290,435,67%,0%,"25,436",114,215,"1,624",18.3,0.1%,435,"4,066","2,169",89%,"416,083",329,0.0%,25,25,10
CA,"6,217,689","9,123","1,014","6,233","4,196",682,"6,132",998,"1,482",76%,4725345,"292,506","390,072",75%,1%,"279,695","2,080","4,228","20,566",22.2,6.3%,"390,072","2,990","1,470",60%,"3,742,856","6,308",22.5%,527,596,697
OK,"690,304","2,287",134,209,526,302,"5,167","3,301","1,312",50%,344656,"3,148","6,411",49%,1%,"44,332",483,109,"3,156",15.6,0.9%,"6,411","1,431","6,348",82%,"566,642",591,0.4%,364,216,25
AZ,"1,117,475","1,473",330,701,864,758,"3,382","1,593","1,294",61%,677919,"67,069","86,501",78%,-17%,"57,247",362,988,"3,369",19.5,7.7%,"86,501","3,086","1,131",55%,"619,664","1,350",5.0%,113,129,135
GA,"1,745,762","3,640",331,273,"1,355",480,"5,272","6,390","1,288",59%,1032653,"4,471","6,713",67%,-7%,"111,692","1,228",210,"5,600",15.6,0.4%,"6,713","1,422","8,327",97%,"1,692,342","1,438",0.4%,806,407,40
WI,"842,798","2,143",482,935,656,393,"1,750",901,"1,284",29%,247556,"1,781","7,951",22%,7%,"60,149",491,499,"4,216",14.0,0.9%,"7,951","1,718","1,688",82%,"695,292",990,0.5%,96,133,51
NC,"1,551,207","4,190",980,614,"1,232",370,"1,584","2,527","1,259",51%,784596,"3,014","8,247",37%,14%,"114,435","1,347",186,"7,016",13.6,0.5%,"8,247","1,152","8,351",87%,"1,342,118","1,533",0.5%,624,385,28
OH,"1,719,439","3,390",354,"1,586","1,735",507,"4,854","1,084",991,28%,488779,"22,369","76,972",29%,-1%,"106,288",860,747,"7,065",16.2,4.5%,"76,972","1,999","2,302",72%,"1,231,637","1,607",4.4%,252,227,194
WV,"278,716",764,18,64,287,365,"15,433","4,329",972,10%,26824,150,789,19%,-9%,"19,056",138,49,"1,133",14.6,0.3%,789,"2,016","5,665",82%,"229,140",187,0.0%,100,27,3
MS,"490,208","1,134",99,40,520,432,"4,956","12,203",942,55%,271979,"13,277","25,766",52%,4%,"33,390",526,219,"1,793",14.7,5.3%,"25,766",932,"2,238",86%,"419,189",745,1.5%,490,147,65
NATION,"49,977,268","112,586","23,138","32,754","53,389",444,"2,160","1,526",936,51%,25610879,"903,824","1,731,207",52%,-1%,"3,190,980","27,236","27,737","221,867",15.7,3.5%,"1,731,207","1,835","1,802",66%,"36,117,294","54,973",,"14,548","7,400","4,113"
MN,"864,466","1,487","1,015",679,932,582,852,"1,273",928,32%,273548,"22,032","79,361",28%,4%,"58,783",420,224,"4,113",14.7,9.2%,"79,361","2,058","3,858",57%,"488,865",644,4.6%,226,119,205
LA,"716,071","1,421",362,213,776,504,"1,979","3,365",923,55%,390388,"31,487","47,528",66%,-12%,"48,763",571,233,"2,772",14.7,6.6%,"47,528","1,254","3,074",75%,"534,924",804,2.7%,338,159,118
KY,"681,279","1,540",200,331,740,442,"3,400","2,057",921,22%,148831,"1,433","15,406",9%,13%,"41,929",384,187,"2,811",16.2,2.3%,"15,406","1,773","3,637",89%,"609,116",572,0.9%,198,76,63
MD,"893,472","2,335",385,745,974,383,"2,324","1,198",917,62%,549701,"34,562","38,232",90%,-29%,"63,448",503,285,"4,439",14.1,4.3%,"38,232","1,778","3,139",84%,"753,881",787,2.2%,76,228,104
SD,"137,100",448,40,79,157,306,"3,413","1,742",876,25%,33893,749,"2,670",28%,-3%,"10,022",102,21,724,13.7,1.9%,"2,670","1,348","6,529",75%,"102,722",123,0.2%,57,39,19
IL,"2,005,522","3,610","2,707","1,591","2,302",555,741,"1,261",871,51%,1027640,"55,052","111,336",49%,2%,"134,991",950,"2,882","10,210",14.9,5.6%,"111,336","2,110",696,48%,"966,809","3,832",6.4%,394,293,246
TX,"5,256,939","12,106",386,"1,059","6,326",434,"13,604","4,962",831,72%,3759890,"36,588","48,595",75%,-4%,"347,403","2,912","2,047","19,877",15.1,0.9%,"48,595","1,805","2,568",86%,"4,525,833","4,959",2.8%,"2,131",266,133
VA,"1,279,045","3,701",619,788,"1,566",346,"2,067","1,623",817,49%,632667,"1,289","3,194",40%,9%,"91,281",856,929,"6,674",14.0,0.2%,"3,194","1,494","1,378",86%,"1,094,445","1,785",0.2%,264,46,21
AK,"131,093",303,21,24,161,433,"6,240","5,368",813,53%,68834,"8,680","17,002",51%,1%,"7,926",107,56,509,16.5,13.0%,"17,002","1,223","2,362",42%,"55,171",163,1.0%,100,14,48
TN,"994,785","2,383",225,416,"1,234",417,"4,428","2,389",806,36%,356324,"1,599","9,666",17%,19%,"68,691","1,019",330,"4,258",14.5,1.0%,"9,666",976,"3,017",90%,"895,697","1,349",0.6%,451,138,37
IN,"1,019,004","1,916",557,391,"1,350",532,"1,829","2,607",755,31%,310911,"31,984","106,653",30%,1%,"60,263",814,234,"4,215",16.9,10.5%,"106,653","1,251","4,358",68%,"697,830","1,048",6.2%,499,129,235
MT,"148,087",715,60,212,209,207,"2,475",698,707,21%,31470,173,558,31%,-10%,"11,519",136,19,"1,196",12.9,0.4%,558,"1,093","7,681",69%,"101,534",155,0.0%,72,59,6
NM,"335,816",859,356,91,483,391,945,"3,673",695,76%,256877,"4,359","5,733",76%,0%,"21,748",112,268,"1,789",15.4,1.7%,"5,733","3,005","1,252",75%,"251,751",380,0.3%,70,15,21
NE,"310,677",896,93,267,460,347,"3,350","1,164",676,33%,101092,569,"3,938",14%,18%,"23,827",141,205,"1,716",13.0,1.3%,"3,938","2,199","1,515",70%,"218,450",346,0.2%,46,33,18
PA,"1,693,260","4,455",496,"1,698","2,537",380,"3,416",997,667,33%,554663,"4,682","13,151",36%,-3%,"119,925",831,"1,151","9,186",14.1,0.8%,"13,151","2,037","1,472",85%,"1,431,565","1,982",0.8%,207,53,41
KS,"486,050","1,196",357,420,765,407,"1,360","1,157",636,35%,171286,"2,070","10,231",20%,15%,"35,011",292,126,"2,738",13.9,2.1%,"10,231","1,662","3,850",78%,"378,928",419,0.6%,136,46,40
SC,"757,281","2,064",179,424,"1,200",367,"4,238","1,788",631,49%,368994,"2,343","4,805",49%,0%,"50,401",644,199,"3,866",15.0,0.6%,"4,805","1,176","3,811",88%,"667,377",843,0.3%,306,41,23
IA,"499,264","1,321",56,35,798,378,"8,973","14,119",625,23%,112892,961,"3,905",25%,-2%,"35,414",152,73,"2,210",14.1,0.8%,"3,905","3,281","6,839",83%,"414,032",225,0.2%,191,18,13
AL,"744,506","1,779",86,26,"1,265",419,"8,615","28,779",588,45%,331848,418,"1,224",34%,10%,"46,578",668,176,"3,156",16.0,0.2%,"1,224","1,115","4,234",96%,"712,755",843,0.1%,641,63,8
NY,"2,725,551","7,636","3,525","4,204","5,028",357,773,648,542,55%,1505920,"34,359","78,794",44%,12%,"216,968",737,"3,008","20,392",12.6,2.9%,"78,794","3,699",906,50%,"1,360,090","3,745",4.6%,141,51,169
WY,"94,659",312,100,112,178,304,946,847,533,22%,20904,907,"3,434",26%,-4%,"7,750",78,13,701,12.2,3.6%,"3,434","1,221","7,226",66%,"62,137",91,0.2%,40,8,20
DE,"136,411",322,54,165,257,424,"2,547",825,532,54%,74056,"3,853","7,536",51%,3%,"9,380",68,47,798,14.5,5.5%,"7,536","2,002","2,930",76%,"103,743",115,0.4%,13,2,14
DC,"81,375",235,223,198,154,347,365,410,528,90%,72970,"17,317","20,457",85%,5%,"6,692",154,333,811,12.2,25.1%,"20,457",530,244,39%,"31,889",487,1.2%,31,10,60
AR,"480,300","1,298",131,173,913,370,"3,655","2,776",526,38%,182290,654,"1,791",37%,1%,"33,939",495,128,"2,515",14.2,0.4%,"1,791",970,"3,749",91%,"438,147",623,0.1%,443,11,9
RI,"141,210",360,206,168,273,392,686,838,516,41%,57547,533,"3,937",14%,27%,"11,606",71,17,"1,008",12.2,2.8%,"3,937","2,002","8,306",36%,"50,299",88,0.2%,15,5,11
ME,"177,903",587,288,97,354,303,617,"1,830",503,10%,18089,126,"2,205",6%,4%,"14,810",99,2,"1,326",12.0,1.2%,"2,205","1,804","80,865",57%,"100,759",101,0.1%,74,8,12
MO,"915,033","2,789",407,188,"1,874",328,"2,250","4,867",488,28%,253819,"1,858","3,314",56%,-28%,"66,554",751,323,"5,258",13.7,0.4%,"3,314","1,218","2,832",84%,"764,878","1,074",0.2%,737,53,20
NJ,"1,358,709","4,231","2,076","1,859","2,808",321,655,731,484,53%,723937,"14,440","22,791",63%,-10%,"118,344",689,"2,619","10,974",11.5,1.7%,"22,791","1,972",519,60%,"816,189","3,308",1.3%,144,11,62
MA,"946,424","3,111",622,"1,147","1,972",304,"1,522",825,480,38%,356543,"18,728","51,515",36%,1%,"74,007",567,317,"6,852",12.8,5.4%,"51,515","1,669","2,986",45%,"425,244",884,3.0%,148,38,123
CT,"531,922","1,630",916,971,"1,223",326,580,548,435,44%,234011,"16,286","38,906",42%,2%,"44,284",261,812,"4,740",12.0,7.3%,"38,906","2,039",655,28%,"149,965","1,073",2.2%,41,8,100
NH,"181,916",767,76,198,447,237,"2,408",919,407,14%,25364,N/A,,,14%,"14,933",133,19,"1,488",12.2,0.0%,,"1,365","9,807",48%,"86,582",152,0.0%,40,3,
VT,"83,412",403,66,56,258,207,"1,265","1,496",324,10%,8516,13,116,11%,-1%,"8,022",54,9,782,10.4,0.1%,116,"1,552","9,268",30%,"24,821",63,0.0%,25,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,